from,to,relationship
gl,ai,1
tl,kr,1
pd,mg,1
mm,vs,1
ga,fy,1
jb,en,2
fg,ko,2
gl,fn,2
tl,mn,2
pd,mn,2
mm,en,2
ga,fs,2
mg,hf,2
gl,hf,2
