id,numer,typ,id_name,follower_tsd,Hauptmedium,Umsatz,Standort
lui,105,3,luisa tabbert,444,instagram,0,NA
mar,106,3,marenmorereal,88,instagram,0,NA
lou,107,3,louispannhorst,24,instagram,0,Niedersachsen
vx,108,3,vxtez,19,instagram,0,NA
xc,109,3,xculex,27,instagram,0,NA
lex,110,3,lexikar,28,instagram,0,NA
mad,112,3,madlensdiary,213,instagram,0,NA
fra,113,3,Frankly Agency,0,NA,0,Austria
mimi,114,2,Mio Mio,0,NA,20,Niedersachsen
vfl,115,2,veganfoodlove,0,NA,0,Nordrhein-Westfalen
tm,116,3,esmuellert,14700,instagram,0,Bayern
wv,117,3,wesleyvissers,1000,instagram,0,Niederlande
kdc,118,3,karlessdotcom,350,youtube,0,Baden-Wuerttemberg
lsrlc,119,3,laserluca,4100,instagram,0,Nordrhein-Westfalen
lmi,120,3,lisa_msw_ibbpro,43,instagram,0,NA
gg,121,2,Gustavo Gusto,0,NA,0,Bayern
cuw,122,2,Coppenrath und Wiese,0,NA,0,Nordrhein-Westfalen
jbb,123,3,jessicaabock,320,instagram,0,Nordrhein-Westfalen
sgs,124,1,Social Groth Studio,0,NA,0,Schleswig-Holstein
