id,type,id_name,follower_tsd,Hauptmedium,Umsatz,Standort,Geschlecht
500,3,cleverfithusum,2,instagram,0,Deutschland,2
501,3,fitntastyEIGHTSEVEN_,15,instagram,0,Deutschland,1
502,3,campustuete,35,instagram,0,Deutschland,2
503,3,suppculture,8,instagram,0,Deutschland,0
504,3,julchen_julz,2,instagram,0,Deutschland,2
505,3,wellyou_aurich,5,instagram,0,Deutschland,1
506,3,muscle_fischi,2,instagram,0,Deutschland,1
507,3,diary_fastabigail,8,instagram,0,Deutschland,2
508,3,happy_gabriela_h,6,instagram,0,Deutschland,2
509,3,sebastianhotz,4,instagram,0,Deutschland,2
510,3,philipgeipel,5,instagram,0,Deutschland,2
