id,type,id_name,follower_tsd,Hauptmedium,Umsatz,Standort,Geschlecht
118,3,lisa_msw_ibbpro,43,instagram,0,NA,2
119,3,crysdyaz,392,instagram,0,Spanien,2
120,3,jo_dunica,108,instagram,0,Italien,2
121,3,jessicaabock,320,instagram,0,Deutschland,2
122,1,Social Growth Studio,0,NA,0,Deutschland,0
123,3,tigerlariz,189,instagram,0,Deutschland,2
124,3,gerdalewis,995,instagram,0,Deutschland,2
125,3,growingannanas,1500,instagram,0,NA,2
126,3,koelleforniagurl,192,instagram,0,Deutschland,2
127,3,leaschreiner,245,instagram,0,NA,2
128,3,sveta_pavlina,2,instagram,0,NA,2
129,3,simongronau,91,instagram,0,Deutschland,1
130,3,dennisgries,109,instagram,0,Deutschland,1
131,3,smartgains,231,instagram,0,NA,2
132,3,trajnilla,9,instagram,0,Deutschland,1
133,3,trainingfabi,135,instagram,0,NA,1
134,3,johannaalbeert,141,instagram,0,Deutschland,2
135,1,StudioHealth Management,0,NA,0,Deutschland,0
136,3,alinaristenpart,299,instagram,0,NA,2
137,3,ms_nadineslife,292,instagram,0,NA,2
138,3,domiwest,493,instagram,0,NA,2
139,3,alinajochimsen,162,instagram,0,NA,2
140,3,kikidoyouloveme,405,instagram,0,NA,2
141,3,angiie_na,1,instagram,0,Deutschland,2
142,3,annastrainingstipps,95,instagram,0,Deutschland,2
143,3,j_preiss90,1,instagram,0,Deutschland,2
144,3,felixvjascheroff,432,instagram,0,NA,1
145,3,simply_mela,2,instagram,0,NA,2
146,3,lukefithyrox,24,instagram,0,NA,1
147,3,thony_orozcol,2,instagram,0,NA,1
148,3,ninerschemnitz,26,instagram,0,Deutschland,0
149,3,zoebrammer_,95,instagram,0,Deutschland,2
150,3,danielamonida_,195,tiktok,0,Deutschland,2
151,3,burak_kkr,80,instagram,0,NA,1
152,3,evathuemling,189,instagram,0,NA,2
153,3,philipp_metschulat,4,tiktok,0,Deutschland,1
154,3,guiltyfreerecipies,89,instagram,0,Italien,0
155,3,celineftONE,68,instagram,0,NA,2
156,3,vivaavanessa,46,instagram,0,NA,2
157,3,sarahshealthylifestyle,221,instagram,0,NA,2
158,3,susis_abnehmweg,311,instagram,0,USA,2
159,3,alina_wi,58,instagram,0,NA,2
160,2,zecplus,0,NA,0,Deutschland,0
161,3,faridbangbang,2600,instagram,0,Deutschland,1
162,3,marvincalifornia,40,instagram,0,USA,1
163,2,bodyattack,50,instagram,8,Deutschland,0
164,3,lifewithlucaa,2,instagram,0,NA,1
165,3,gymaggie_lifts,10,instagram,0,NA,2
166,3,thebigbahSEVEN,8,instagram,0,NA,1
167,3,king_owusuuu,18,instagram,0,NA,1
168,3,taraa_talay,68,instagram,0,NA,2
169,3,pumping_firefighter,35,instagram,0,NA,1
170,3,alina_polonio,26,instagram,0,NA,2
171,3,tinihadi_,50,instagram,0,NA,1
172,3,max_balser,2,instagram,0,NA,1
173,3,moritztellmann,21,instagram,0,NA,1
174,3,liftwithannah,3,instagram,0,NA,2
175,3,damianschreieck,5,instagram,0,NA,1
176,3,constantin_eisenlohr,5,instagram,0,NA,1
177,3,vietnamesegenetics,3,instagram,0,NA,1
178,3,alina_vegan_foodie,13,instagram,0,Austria,2
179,3,sandys_bunte_welt,17,instagram,0,Deutschland,2
180,3,mimi_lawrence_fitness,494,instagram,0,NA,2
181,3,lisamarie_schlemm,14,instagram,0,Deutschland,2
182,3,fitgreenmind,4000,instagram,0,Deutschland,2
183,3,evan_klar,2,instagram,0,Deutschland,1
184,3,foodschau,229,tiktok,0,Deutschland,1
185,3,yasemin_nils,715,tiktok,0,Deutschland,1
186,3,unterwegsmitjasmin,89,tiktok,0,Deutschland,2
187,3,drogerie_blogger_pro,205,tiktok,0,NA,1
188,3,_mascha_li,334,tiktok,0,NA,2
189,3,diearsen,23,tiktok,0,NA,2
190,3,fitbyhannah,162,tiktok,0,Deutschland,2
191,3,plantbasedcouple,342,tiktok,0,Deutschland,0
192,3,farah_anaya,29,tiktok,0,NA,2
193,3,yxcvanessa,114,tiktok,0,Deutschland,2
194,3,tierfrei_check,57,instagram,0,Deutschland,0
195,1,emi,0,NA,0,Vereintes Koenigreich,0
196,0,cindy_roleder,0,instagram,0,Deutschland,2
197,1,themakagency,0,NA,0,Deutschland,0
198,3,rvbengarcia,1500,instagram,0,Spanien,1
199,1,boksi,0,NA,0,Deutschland,0
200,3,kerimengizek,342,instagram,0,Deutschland,0
201,3,jaqueline_sprIng,182,instagram,0,Thailand,2
202,3,fabicze_ifbbpro,36,instagram,0,Deutschland,1
203,3,coach_timbuyame,83,instagram,0,Deutschland,1
204,3,andrinafit,342,instagram,0,Spanien,2
205,3,sharo_FOURFIVE,98,instagram,0,Deutschland,1
206,3,xsraSIXTWO,33,instagram,0,Deutschland,2
207,3,joleelove,141,instagram,0,Deutschland,2
208,3,b_lashONESEVENEIGHT,79,instagram,0,Deutschland,1
209,3,mcbogyFOURSIX,75,instagram,0,Deutschland,1
210,3,marcii_cze,36,instagram,0,Deutschland,2
211,3,karsten_pfuetzenreuter,8,instagram,0,Spanien ,1
212,3,massiv,1200,instagram,0,Deutschland,1
213,2,Weider Germany,0,NA,47,Deutschland,0
214,2,Mammut Nutrition,0,NA,39,Deutschland,0
215,2,Best Body Nutrition,0,NA,39,Deutschland,0
216,2,Power Bar Europe GmbH,0,NA,45,Deutschland,0
217,3,the_spirit_architect,1100,instagram,0,Deutschland,1
218,2,Layenberger,0,NA,20,Deutschland,0
219,3,kaygedan,214,instagram,0,Deutschland,0
220,3,wencke_sperveslage,134,instagram,0,Deutschland,2
221,3,camillankenke,81,instagram,0,Austria,2
222,3,gymmitchiara,1,instagram,0,Deutschland,2
223,3,veganfindsaustria,41,instagram,0,Austria,0
224,3,lucahbl,395,instagram,0,Deutschland,1
225,3,monawitt_,31,instagram,0,Deutschland,2
226,3,luisa_tabbert,441,instagram,0,Deutschland,2
227,3,ronbielecki,522,instagram,0,Deutschland,1
228,3,marenmorereal,88,instagram,0,Deutschland,2
229,3,pauuly,2,instagram,0,Deutschland,1
230,3,lukas_liebing,47,instagram,0,Deutschland,1
231,3,fabian_niessl,281,instagram,0,Deutschland,1
232,3,moritz_fiebig,43,instagram,0,NA,1
